id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-07-02;41330.44429167
SE;Sudeste/Centro-Oeste;2025-07-03;40933.741125
SE;Sudeste/Centro-Oeste;2025-07-04;40997.52404167
SE;Sudeste/Centro-Oeste;2025-07-05;37419.487
SE;Sudeste/Centro-Oeste;2025-07-06;34059.09425
SE;Sudeste/Centro-Oeste;2025-07-07;39598.34025
SE;Sudeste/Centro-Oeste;2025-07-08;40906.20075
SE;Sudeste/Centro-Oeste;2025-07-09;40027.38016667
SE;Sudeste/Centro-Oeste;2025-07-10;41633.60695833
SE;Sudeste/Centro-Oeste;2025-07-11;41820.30791667
SE;Sudeste/Centro-Oeste;2025-07-12;38733.84279167
SE;Sudeste/Centro-Oeste;2025-07-13;35212.56345833
SE;Sudeste/Centro-Oeste;2025-07-14;40967.04954167
SE;Sudeste/Centro-Oeste;2025-07-15;42143.51695833
SE;Sudeste/Centro-Oeste;2025-07-16;41929.491625
SE;Sudeste/Centro-Oeste;2025-07-17;42333.345625
SE;Sudeste/Centro-Oeste;2025-07-18;42061.91833333
SE;Sudeste/Centro-Oeste;2025-07-19;38428.12895833
SE;Sudeste/Centro-Oeste;2025-07-20;35112.60745833
SE;Sudeste/Centro-Oeste;2025-07-21;41048.23429167
SE;Sudeste/Centro-Oeste;2025-07-22;42606.05183333
SE;Sudeste/Centro-Oeste;2025-07-23;42843.44404167
SE;Sudeste/Centro-Oeste;2025-07-24;42889.30725
SE;Sudeste/Centro-Oeste;2025-07-25;42708.71175
SE;Sudeste/Centro-Oeste;2025-07-26;39020.400375
SE;Sudeste/Centro-Oeste;2025-07-27;36017.95554167
SE;Sudeste/Centro-Oeste;2025-07-28;42515.09004167
SE;Sudeste/Centro-Oeste;2025-07-29;41791.86283333
SE;Sudeste/Centro-Oeste;2025-07-30;40661.410375
SE;Sudeste/Centro-Oeste;2025-07-31;41372.37025
SE;Sudeste/Centro-Oeste;2025-08-01;41481.145
SE;Sudeste/Centro-Oeste;2025-08-02;38572.40591667
